78,78,78,78,78
75,75,75,74,74
75,75,75,74,74
78,78,78,78,78
77,77,77,77,77
78,78,78,78,78
76,76,76,76,76
75,75,75,75,75
78,78,78,78,78
78,78,78,78,78
78,78,78,78,78
75,75,75,75,75
75,75,75,74,74
75,75,75,74,74
76,76,76,76,76
77,77,77,77,77
77,77,77,77,77
75,75,75,74,74
75,75,75,75,75
78,78,78,78,78
78,78,78,78,78
77,77,77,77,77
75,75,75,74,74
77,77,77,77,77
75,75,75,74,74
75,75,75,75,75
75,75,75,74,74
78,78,78,78,78
75,75,75,75,75
77,77,77,77,77
75,75,75,75,75
78,78,78,78,78
75,75,75,75,75
78,78,78,78,78
75,75,75,75,75
78,78,78,78,78
75,75,75,75,75
78,78,78,78,78
75,75,75,75,75
76,76,76,76,76
75,75,75,74,74
78,78,78,78,78
75,75,75,75,75
78,78,78,78,78
75,75,75,75,75
75,75,75,74,74
75,75,75,74,74
75,75,75,74,74
75,75,75,75,75
75,75,75,74,74
75,75,75,75,75
