216,153,140,131,120
216,145,136,122,116
216,140,128,120,111
216,143,135,121,112
216,141,125,112,107
216,148,134,122,110
216,137,123,113,105
216,141,125,112,107
216,141,126,120,115
216,145,135,123,114
216,145,136,122,116
216,145,136,122,116
216,146,134,126,117
216,141,125,112,107
216,141,126,120,115
216,150,128,113,109
216,146,134,126,117
216,152,138,126,115
216,145,135,123,114
216,141,125,118,111
216,142,128,114,105
216,141,125,112,107
216,137,130,120,112
216,142,128,114,105
216,150,140,127,116
216,145,136,122,116
216,140,128,120,111
216,154,139,127,119
216,141,125,118,111
216,146,130,121,109
216,147,133,123,113
216,147,137,125,116
216,150,140,127,116
216,147,137,125,116
216,148,134,122,110
216,153,141,125,115
216,143,135,121,112
216,143,128,117,110
216,141,126,120,115
216,142,128,114,105
216,149,133,123,121
216,141,125,112,107
216,138,128,118,117
216,137,130,120,112
216,145,136,122,116
216,148,134,122,110
216,141,125,112,107
216,142,128,114,105
216,138,128,118,117
216,146,130,119,109
216,141,125,112,107
