36,30,30,29,29
36,33,33,32,32
36,30,30,29,29
36,35,34,34,34
36,33,33,32,32
36,34,28,27,27
36,34,33,33,32
36,33,32,32,32
36,34,33,33,32
36,29,29,29,29
36,29,29,29,29
36,34,33,33,32
36,35,34,34,34
36,30,28,28,28
36,34,33,33,32
36,33,32,32,32
36,30,30,29,29
36,34,28,27,27
36,34,33,33,32
36,34,28,27,27
36,34,28,27,27
36,30,30,29,29
36,33,32,32,32
36,30,30,29,29
36,30,30,29,29
36,29,29,29,29
36,30,30,29,29
36,30,30,29,29
36,34,28,27,27
36,33,32,32,32
36,30,30,29,29
36,30,30,29,29
36,29,29,29,29
36,33,32,32,32
36,33,33,32,32
36,34,33,33,32
36,30,30,29,29
36,33,33,32,32
36,34,28,27,27
36,34,33,33,32
36,33,32,32,32
36,34,28,27,27
36,34,33,33,32
36,33,32,32,32
36,29,29,29,29
36,34,28,27,27
36,34,28,27,27
36,29,29,29,29
36,33,33,32,32
36,34,33,33,32
36,30,30,29,29
