216,122,111,105,102
216,133,123,117,105
216,131,121,114,110
216,128,112,106,102
216,131,121,114,110
216,125,114,109,103
216,122,111,105,102
216,121,113,108,105
216,121,113,108,105
216,134,120,114,109
216,135,121,113,110
216,121,113,108,105
216,137,125,120,115
216,128,112,106,102
216,131,121,114,110
216,134,120,114,109
216,135,121,113,110
216,131,121,114,110
216,137,125,120,115
216,133,123,117,105
216,130,119,113,107
216,131,121,114,110
216,130,119,113,107
216,130,123,119,115
216,122,111,105,102
216,125,117,113,112
216,121,113,108,105
216,130,117,110,107
216,137,125,118,109
216,131,121,114,110
216,130,117,110,107
216,127,117,111,108
216,121,113,108,105
216,137,125,120,115
216,135,121,113,110
216,127,117,111,108
216,134,120,114,109
216,130,117,110,107
216,137,125,120,115
216,133,123,117,105
216,135,121,113,110
216,125,114,109,103
216,134,120,114,109
216,127,117,111,108
216,134,120,114,109
216,127,117,111,108
216,137,125,120,115
216,130,119,113,107
216,130,119,113,107
216,133,123,117,105
216,137,125,120,115
